ZOMET_IRONI,SEMEL_YISHUV,total_rows,total_accidents,fatal_accidents,severe_accidents,light_accidents,PK_TEUNA_FIKT,risk_score,CITY_NAME_EN
8980009,6300,7,2,0,3,4,"2023024495, 2023029867",10,GIV'ATAYIM
9000422,4000,5,2,0,2,3,"2023053035, 2023087979",7,HAIFA
9020032,7900,6,2,0,0,6,"2023036367, 2023055222",8,PETAH TIQWA
9040011,6600,7,2,0,3,4,"2023078813, 2023092836",10,HOLON
9170022,6600,6,2,0,0,6,"2023008123, 2023064288",8,HOLON
9190004,8300,5,2,0,3,2,"2023032143, 2023032352",8,RISHON LEZIYYON
9200073,70,5,2,0,0,5,"2023041402, 2023069136",5,ASHDOD
9210001,70,4,2,0,2,2,"2023068719, 2023075173",6,ASHDOD
9250054,70,5,2,0,2,3,"2023030598, 2023073689",7,ASHDOD
9290009,6500,4,2,0,4,0,"2023026023, 2023082556",8,HADERA
9300021,7900,5,2,0,2,3,"2023011004, 2023081216",7,PETAH TIQWA
9390014,7900,5,2,0,0,5,"2023020177, 2023087969",5,PETAH TIQWA
9430312,70,5,2,0,0,5,"2023053686, 2023075079",5,ASHDOD
9470321,70,4,2,2,0,2,"2023028043, 2023033432",8,ASHDOD
9490041,7900,6,2,0,0,6,"2023012534, 2023065010",8,PETAH TIQWA
9500175,3000,4,2,0,2,2,"2023020033, 2023023991",6,JERUSALEM
9510004,6500,4,2,0,0,4,"2023017511, 2023057391",4,HADERA
9570115,8600,6,2,0,0,6,"2023059451, 2023082340",8,RAMAT GAN
9580331,70,5,2,0,0,5,"2023059509, 2023075199",5,ASHDOD
9600014,6500,5,2,0,0,5,"2023011230, 2023096908",5,HADERA
9720005,70,5,2,0,3,2,"2023021741, 2023025735",8,ASHDOD
9800132,6500,5,2,0,0,5,"2023003580, 2023020903",5,HADERA
9800555,6500,7,2,0,0,7,"2023002753, 2023049184",9,HADERA
9810033,6400,9,2,0,0,9,"2023001804, 2023092324",11,HERZELIYYA
9850054,7900,4,2,0,0,4,"2023001255, 2023026830",4,PETAH TIQWA
9890002,7100,4,2,0,0,4,"2023075740, 2023082430",4,ASHQELON
9900002,70,7,2,0,5,2,"2023062332, 2023095562",12,ASHDOD
9910116,8600,5,2,0,0,5,"2023022415, 2023063382",5,RAMAT GAN
9920021,7100,9,2,0,0,9,"2023059595, 2023075528",11,ASHQELON
9920422,5000,4,2,0,0,4,"2023002203, 2023082064",4,TEL AVIV - YAFO
9930054,6600,4,2,0,0,4,"2023035784, 2023067507",4,HOLON
9950011,9000,4,2,0,4,0,"2023004322, 2023036116",8,BE'ER SHEVA
9970526,4000,5,2,0,0,5,"2023020901, 2023098002",5,HAIFA
10000051,7400,6,2,0,0,6,"2023071380, 2023087823",8,NETANYA
10060052,9000,4,2,0,2,2,"2023019970, 2023079081",6,BE'ER SHEVA
10070053,9000,4,2,0,2,2,"2023036891, 2023039492",6,BE'ER SHEVA
10100424,5000,4,2,0,2,2,"2023033490, 2023071455",6,TEL AVIV - YAFO
10140014,6100,4,2,0,2,2,"2023061072, 2023093809",6,BENE BERAQ
10150290,70,4,2,0,0,4,"2023080757, 2023088315",4,ASHDOD
10150344,70,6,2,0,0,6,"2023026284, 2023070320",8,ASHDOD
10150345,70,4,2,2,0,2,"2023025361, 2023092163",8,ASHDOD
10150362,70,4,2,0,0,4,"2023055544, 2023078081",4,ASHDOD
10170071,6600,4,2,0,0,4,"2023000521, 2023057407",4,HOLON
10240123,6600,6,2,0,2,4,"2023050478, 2023096551",8,HOLON
10270315,8300,4,2,0,2,2,"2023072112, 2023072782",6,RISHON LEZIYYON
10290021,6400,4,2,0,2,2,"2023059888, 2023093077",6,HERZELIYYA
10320315,8300,6,2,0,2,4,"2023067520, 2023090165",8,RISHON LEZIYYON
10390071,6600,4,2,0,0,4,"2023062633, 2023087640",4,HOLON
10500350,6400,3,2,0,1,2,"2023038884, 2023051092",4,HERZELIYYA
10510131,3000,4,2,0,0,4,"2023031762, 2023085747",4,JERUSALEM
10520063,9000,8,2,0,5,3,"2023017944, 2023042184",13,BE'ER SHEVA
10590422,7400,5,2,0,0,5,"2023003279, 2023053933",5,NETANYA
10730021,9000,4,2,0,2,2,"2023006805, 2023025782",6,BE'ER SHEVA
10780012,9000,4,2,0,2,2,"2023024825, 2023032192",6,BE'ER SHEVA
10820231,4000,7,2,0,3,4,"2023071209, 2023081649",10,HAIFA
10980523,9000,6,2,0,0,6,"2023078780, 2023095673",8,BE'ER SHEVA
11010021,9000,5,2,0,0,5,"2023067916, 2023094270",5,BE'ER SHEVA
11070061,7900,3,2,0,0,3,"2023009916, 2023063142",3,PETAH TIQWA
11180522,5000,4,2,0,2,2,"2023039744, 2023071822",6,TEL AVIV - YAFO
11200014,7900,4,2,0,0,4,"2023053343, 2023064930",4,PETAH TIQWA
11220225,9000,7,2,0,0,7,"2023002099, 2023073848",9,BE'ER SHEVA
11420534,5000,6,2,0,2,4,"2023032726, 2023077978",8,TEL AVIV - YAFO
11570011,7900,4,2,0,0,4,"2023061444, 2023097483",4,PETAH TIQWA
11590033,7900,4,2,0,0,4,"2023022255, 2023057596",4,PETAH TIQWA
11780011,7900,4,2,0,0,4,"2023006251, 2023075269",4,PETAH TIQWA
11780613,5000,5,2,0,0,5,"2023015812, 2023037339",5,TEL AVIV - YAFO
11850011,7900,5,2,0,3,2,"2023019212, 2023052233",8,PETAH TIQWA
11890117,7900,4,2,2,0,2,"2023067325, 2023094384",8,PETAH TIQWA
12130008,9600,4,2,0,0,4,"2023029232, 2023084478",4,QIRYAT YAM
12170004,8400,6,2,0,0,6,"2023024143, 2023080314",8,REHOVOT
12260001,8400,5,2,0,3,2,"2023014391, 2023042974",8,REHOVOT
12280911,5000,4,2,0,0,4,"2023005350, 2023007391",4,TEL AVIV - YAFO
12360001,9600,4,2,0,0,4,"2023007715, 2023013201",4,QIRYAT YAM
12690913,5000,4,2,0,0,4,"2023043232, 2023088592",4,TEL AVIV - YAFO
12740533,3000,4,2,0,0,4,"2023068755, 2023093599",4,JERUSALEM
12800006,6900,5,2,0,0,5,"2023020271, 2023045384",5,KEFAR SAVA
13030043,6900,4,2,0,0,4,"2023013227, 2023047783",4,KEFAR SAVA
13210524,4000,4,2,0,2,2,"2023049465, 2023079723",6,HAIFA
13290073,6800,5,2,0,0,5,"2023061586, 2023085064",5,QIRYAT ATTA
13290074,6800,4,2,0,0,4,"2023070141, 2023093847",4,QIRYAT ATTA
13370814,5000,4,2,0,0,4,"2023001550, 2023074989",4,TEL AVIV - YAFO
13820416,3000,4,2,2,0,2,"2023020117, 2023069056",8,JERUSALEM
13930415,3000,4,2,0,0,4,"2023010075, 2023046958",4,JERUSALEM
13940414,3000,4,2,0,0,4,"2023019603, 2023042128",4,JERUSALEM
14590232,3000,7,2,0,0,7,"2023020243, 2023022233",9,JERUSALEM
14590825,5000,4,2,0,0,4,"2023005641, 2023037932",4,TEL AVIV - YAFO
14620222,4000,4,2,2,2,0,"2023032917, 2023074474",10,HAIFA
14740412,4000,8,2,0,4,4,"2023063230, 2023080484",12,HAIFA
14880823,5000,5,2,0,3,2,"2023030550, 2023032267",8,TEL AVIV - YAFO
14970040,9100,5,2,0,0,5,"2023028093, 2023065602",5,NAHARIYYA
15000817,5000,5,2,3,0,2,"2023004299, 2023004738",11,TEL AVIV - YAFO
15030132,4000,3,2,0,0,3,"2023006844, 2023086318",3,HAIFA
15670001,2500,5,2,0,0,5,"2023049535, 2023069361",5,NESHER
15700001,2500,4,2,0,0,4,"2023041581, 2023047293",4,NESHER
15900231,3000,4,2,0,0,4,"2023036418, 2023098799",4,JERUSALEM
16730517,4000,3,2,0,0,3,"2023013043, 2023025468",3,HAIFA
16740213,3000,20,2,0,0,20,"2023007290, 2023014027",24,JERUSALEM
16830164,3000,4,2,0,0,4,"2023038104, 2023093699",4,JERUSALEM
16910623,4000,4,2,0,0,4,"2023003574, 2023077523",4,HAIFA
17140215,5000,4,2,0,0,4,"2023012558, 2023084300",4,TEL AVIV - YAFO
17340323,4000,5,2,0,0,5,"2023001720, 2023051826",5,HAIFA
17400001,7900,4,2,2,0,2,"2023002243, 2023004842",8,PETAH TIQWA
17810179,7200,4,2,0,0,4,"2023084471, 2023089632",4,NES ZIYYONA
17890093,8400,6,2,0,0,6,"2023006817, 2023050466",8,REHOVOT
17890179,8400,4,2,0,0,4,"2023073434, 2023091243",4,REHOVOT
17890337,8400,5,2,0,5,0,"2023062462, 2023069201",10,REHOVOT
17890415,8400,5,2,0,0,5,"2023016300, 2023070829",5,REHOVOT
18060924,5000,4,2,0,2,2,"2023018726, 2023094479",6,TEL AVIV - YAFO
18100921,5000,4,2,0,0,4,"2023039674, 2023048274",4,TEL AVIV - YAFO
18140111,8300,4,2,0,0,4,"2023053431, 2023056808",4,RISHON LEZIYYON
18160001,4000,4,2,0,0,4,"2023047869, 2023072280",4,HAIFA
18200001,4000,4,2,0,0,4,"2023061462, 2023089100",4,HAIFA
18260001,4000,4,2,0,0,4,"2023067685, 2023080846",4,HAIFA
18380182,4000,5,2,0,0,5,"2023015026, 2023046823",5,HAIFA
18380336,4000,5,2,0,0,5,"2023024679, 2023052212",5,HAIFA
18380355,4000,4,2,0,0,4,"2023050868, 2023056761",4,HAIFA
18380386,4000,5,2,0,0,5,"2023063495, 2023066351",5,HAIFA
18380605,4000,4,2,0,0,4,"2023065140, 2023099536",4,HAIFA
18380745,4000,8,2,0,0,8,"2023051241, 2023087118",10,HAIFA
18380915,4000,6,2,0,0,6,"2023034607, 2023067600",8,HAIFA
18460933,5000,4,2,0,4,0,"2023043977, 2023077715",8,TEL AVIV - YAFO
18560937,5000,4,2,0,0,4,"2023055913, 2023072970",4,TEL AVIV - YAFO
18630532,5000,4,2,0,0,4,"2023020238, 2023045771",4,TEL AVIV - YAFO
20390660,8300,4,2,0,0,4,"2023020711, 2023094218",4,RISHON LEZIYYON
20720111,5000,4,2,0,0,4,"2023017205, 2023059293",4,TEL AVIV - YAFO
20780125,5000,4,2,0,0,4,"2023047140, 2023091319",4,TEL AVIV - YAFO
21950006,9700,6,2,0,2,4,"2023056122, 2023097447",8,HOD HASHARON
22110001,2650,4,2,0,0,4,"2023037004, 2023067542",4,RAMAT HASHARON
22920113,3000,4,2,0,0,4,"2023016213, 2023070621",4,JERUSALEM
23890842,3000,5,2,0,0,5,"2023029951, 2023049955",5,JERUSALEM
24030844,3000,9,2,0,0,9,"2023025893, 2023076522",11,JERUSALEM
24070123,3000,4,2,0,0,4,"2023025406, 2023067635",4,JERUSALEM
24970714,3000,5,2,0,0,5,"2023024925, 2023031379",5,JERUSALEM
25430112,5000,3,2,0,0,3,"2023037488, 2023068646",3,TEL AVIV - YAFO
25430121,3000,4,2,0,2,2,"2023007116, 2023061752",6,JERUSALEM
26010412,3000,6,2,0,0,6,"2023010065, 2023020166",8,JERUSALEM
26410713,3000,6,2,0,0,6,"2023010790, 2023017327",8,JERUSALEM
26910842,3000,5,2,0,0,5,"2023018884, 2023083597",5,JERUSALEM
27740214,3000,4,2,0,0,4,"2023031818, 2023042650",4,JERUSALEM
28480713,3000,6,2,0,0,6,"2023015670, 2023071971",8,JERUSALEM
28680721,3000,7,2,0,0,7,"2023035295, 2023093489",9,JERUSALEM
28880725,3000,5,2,0,0,5,"2023067236, 2023099097",5,JERUSALEM
80150533,5000,3,2,1,0,2,"2023029545, 2023043375",5,TEL AVIV - YAFO
80150675,5000,4,2,2,0,2,"2023003941, 2023017985",8,TEL AVIV - YAFO
92870635,3000,4,2,0,2,2,"2023036654, 2023094587",6,JERUSALEM
92870804,3000,5,2,2,0,3,"2023005338, 2023038116",9,JERUSALEM
92870904,3000,6,2,0,3,3,"2023045429, 2023048535",9,JERUSALEM
92871141,3000,5,2,0,0,5,"2023055582, 2023095083",5,JERUSALEM
92871417,3000,7,2,0,0,7,"2023018547, 2023025242",9,JERUSALEM
92872446,3000,9,2,0,0,9,"2023071978, 2023087547",11,JERUSALEM
92872453,3000,6,2,0,0,6,"2023037961, 2023065882",8,JERUSALEM
92872554,3000,4,2,0,2,2,"2023069457, 2023081192",6,JERUSALEM
97710248,8600,8,2,0,8,0,"2023001712, 2023004045",16,RAMAT GAN
98340048,9000,5,2,0,0,5,"2023034820, 2023044548",5,BE'ER SHEVA
99970296,7900,4,2,0,0,4,"2023050145, 2023074540",4,PETAH TIQWA
99970461,7900,5,2,0,0,5,"2023002581, 2023046191",5,PETAH TIQWA
99970487,7900,4,2,0,4,0,"2023003675, 2023046034",8,PETAH TIQWA
99970571,7900,4,2,0,0,4,"2023007609, 2023087446",4,PETAH TIQWA
2,432,2,1,0,0,2,2023064094,2,SHAMERAT
2,542,2,1,0,2,0,2023082170,4,REINE
2,628,5,1,0,0,5,2023075739,5,JAAT
2,1313,2,1,0,0,2,2023095671,2,PORIYYA ILLIT
2,6000,3,1,0,0,3,2023072018,3,BAQA AL-GHARBIYYE
3,351,4,1,0,0,4,2023095314,4,NIZZAN
3,6000,4,1,0,4,0,2023095255,8,BAQA AL-GHARBIYYE
4,233,2,1,0,0,2,2023098446,2,YEDIDYA
4,542,3,1,0,0,3,2023045122,3,REINE
4,1345,2,1,0,0,2,2023053988,2,ZUR YIZHAQ
11,634,6,1,0,0,6,2023061938,8,KAFAR QASEM
19,8800,4,1,0,4,0,2023051885,8,SHEFAR'AM
20,8800,3,1,0,0,3,2023097486,3,SHEFAR'AM
10001,182,3,1,0,3,0,2023044620,6,EVEN YEHUDA
10001,229,2,1,0,0,2,2023050220,2,GANNE TIQWA
10001,1309,2,1,0,0,2,2023087880,2,EL'AD
10011,1247,3,1,0,0,3,2023054906,3,HARISH
10014,1247,2,1,0,0,2,2023016183,2,HARISH
10015,1247,2,1,0,2,0,2023007668,4,HARISH
10022,7900,2,1,0,0,2,2023065383,2,PETAH TIQWA
10052,6600,2,1,0,2,0,2023030840,4,HOLON
10054,6600,2,1,0,2,0,2023045220,4,HOLON
10123,8600,2,1,0,0,2,2023056999,2,RAMAT GAN
10176,3000,3,1,0,0,3,2023004599,3,JERUSALEM
10433,5000,2,1,0,0,2,2023067557,2,TEL AVIV - YAFO
10516,4000,2,1,0,2,0,2023066840,4,HAIFA
10624,5000,2,1,0,0,2,2023075971,2,TEL AVIV - YAFO
10815,5000,2,1,0,0,2,2023055391,2,TEL AVIV - YAFO
10827,5000,2,1,0,0,2,2023092577,2,TEL AVIV - YAFO
20001,249,3,1,0,0,3,2023086265,3,KEFAR SIRKIN
20001,2600,2,1,0,0,2,2023057335,2,ELAT
20001,4100,2,1,0,0,2,2023031489,2,QAZRIN
20003,6900,2,1,0,0,2,2023011661,2,KEFAR SAVA
20031,7900,1,1,0,0,1,2023063716,1,PETAH TIQWA
20032,6200,3,1,0,0,3,2023049616,3,BAT YAM
20041,7900,3,1,0,0,3,2023075703,3,PETAH TIQWA
20052,65,1,1,0,1,0,2023045097,2,MIGDAL
20223,4000,2,1,0,0,2,2023021520,2,HAIFA
20227,5000,2,1,0,0,2,2023033229,2,TEL AVIV - YAFO
20557,5000,2,1,0,0,2,2023044986,2,TEL AVIV - YAFO
20814,5000,2,1,0,0,2,2023035502,2,TEL AVIV - YAFO
30001,154,2,1,0,0,2,2023051360,2,TEL MOND
30002,2560,2,1,0,0,2,2023048408,2,ARAD
30004,1034,2,1,0,0,2,2023075846,2,QIRYAT MAL'AKHI
30005,6800,2,1,0,0,2,2023090178,2,QIRYAT ATTA
30021,6200,2,1,0,0,2,2023079701,2,BAT YAM
30023,6200,3,1,0,3,0,2023001258,6,BAT YAM
30041,6100,2,1,0,0,2,2023027371,2,BENE BERAQ
30054,7900,2,1,0,0,2,2023093562,2,PETAH TIQWA
30223,4000,2,1,0,0,2,2023011829,2,HAIFA
30532,3000,5,1,0,0,5,2023074316,5,JERUSALEM
30713,3000,2,1,0,2,0,2023006681,4,JERUSALEM
30816,5000,2,1,0,0,2,2023078834,2,TEL AVIV - YAFO
40001,154,2,1,0,0,2,2023030097,2,TEL MOND
40001,1063,2,1,0,0,2,2023022937,2,MA'ALOT-TARSHIHA
40001,2550,2,1,0,0,2,2023058378,2,GEDERA
40002,31,2,1,0,2,0,2023056259,4,OFAQIM
40003,6900,3,1,0,0,3,2023050101,3,KEFAR SAVA
40012,6600,2,1,0,0,2,2023006963,2,HOLON
40014,7900,2,1,0,0,2,2023059378,2,PETAH TIQWA
40145,3000,2,1,0,0,2,2023009104,2,JERUSALEM
40624,5000,2,1,0,2,0,2023055586,4,TEL AVIV - YAFO
40714,5000,2,1,0,0,2,2023033037,2,TEL AVIV - YAFO
50001,26,2,1,0,0,2,2023041238,2,ROSH PINNA
50001,240,3,1,0,0,3,2023089533,3,YOQNE'AM ILLIT
50003,874,5,1,0,0,5,2023061269,5,MIGDAL HAEMEQ
50004,2100,2,1,0,0,2,2023083708,2,TIRAT KARMEL
50005,70,2,1,0,2,0,2023073648,4,ASHDOD
50005,8300,2,1,0,0,2,2023080033,2,RISHON LEZIYYON
50022,9000,2,1,0,0,2,2023028007,2,BE'ER SHEVA
50515,4000,2,1,0,0,2,2023064796,2,HAIFA
50517,5000,2,1,0,2,0,2023092974,4,TEL AVIV - YAFO
50815,5000,2,1,0,2,0,2023034859,4,TEL AVIV - YAFO
60001,240,2,1,0,0,2,2023024475,2,YOQNE'AM ILLIT
60003,7000,2,1,0,0,2,2023019860,2,LOD
60013,6100,2,1,0,0,2,2023037676,2,BENE BERAQ
60015,70,2,1,0,2,0,2023062850,4,ASHDOD
60022,9000,2,1,0,0,2,2023001590,2,BE'ER SHEVA
60025,6100,2,1,0,2,0,2023014722,4,BENE BERAQ
60034,7400,3,1,0,0,3,2023083845,3,NETANYA
60214,3000,2,1,0,2,0,2023084507,4,JERUSALEM
60222,8600,20,1,0,0,20,2023086471,24,RAMAT GAN
60422,5000,2,1,0,0,2,2023060332,2,TEL AVIV - YAFO
60714,5000,2,1,0,0,2,2023042570,2,TEL AVIV - YAFO
60816,5000,2,1,0,0,2,2023053027,2,TEL AVIV - YAFO
60822,5000,4,1,0,0,4,2023002049,4,TEL AVIV - YAFO
70001,31,2,1,0,2,0,2023038515,4,OFAQIM
70001,7200,2,1,0,0,2,2023005706,2,NES ZIYYONA
70003,8300,3,1,0,0,3,2023014685,3,RISHON LEZIYYON
70004,2800,2,1,0,0,2,2023097245,2,QIRYAT SHEMONA
70031,7400,2,1,0,2,0,2023004826,4,NETANYA
70032,7900,2,1,0,0,2,2023094695,2,PETAH TIQWA
70097,4100,2,1,0,0,2,2023073932,2,QAZRIN
70311,3000,2,1,0,0,2,2023048446,2,JERUSALEM
70322,3000,2,1,0,0,2,2023037949,2,JERUSALEM
70624,5000,2,1,0,0,2,2023069037,2,TEL AVIV - YAFO
70743,5000,2,1,0,0,2,2023077481,2,TEL AVIV - YAFO
80001,2034,2,1,0,0,2,2023001841,2,HAZOR HAGELILIT
80021,7400,2,1,0,2,0,2023046808,4,NETANYA
80032,7400,2,1,0,0,2,2023065632,2,NETANYA
80063,9000,3,1,0,0,3,2023054399,3,BE'ER SHEVA
80121,8600,2,1,0,0,2,2023006858,2,RAMAT GAN
80224,4000,2,1,0,0,2,2023019717,2,HAIFA
80231,8600,2,1,0,0,2,2023020463,2,RAMAT GAN
80431,5000,2,1,0,0,2,2023041271,2,TEL AVIV - YAFO
80522,5000,2,1,0,0,2,2023031681,2,TEL AVIV - YAFO
90002,2600,2,1,0,0,2,2023092896,2,ELAT
90002,2650,2,1,0,0,2,2023068185,2,RAMAT HASHARON
90004,6700,3,1,0,0,3,2023029280,3,TIBERIAS
90013,70,2,1,0,0,2,2023040979,2,ASHDOD
90023,6200,2,1,0,0,2,2023028125,2,BAT YAM
90032,6200,2,1,0,0,2,2023013013,2,BAT YAM
90033,6200,2,1,0,2,0,2023007588,4,BAT YAM
90099,28,2,1,0,0,2,2023066340,2,MAZKERET BATYA
90121,8600,2,1,0,0,2,2023026811,2,RAMAT GAN
90316,3000,2,1,0,0,2,2023024811,2,JERUSALEM
90515,5000,3,1,0,0,3,2023083204,3,TEL AVIV - YAFO
90556,5000,2,1,0,0,2,2023057012,2,TEL AVIV - YAFO
90715,5000,2,1,0,0,2,2023005147,2,TEL AVIV - YAFO
100001,666,5,1,0,0,5,2023000344,5,OMER
100001,9400,2,1,0,2,0,2023027205,4,YEHUD-MONOSON
100005,7600,4,1,0,0,4,2023031504,4,AKKO
100011,7100,3,1,0,0,3,2023065774,3,ASHQELON
100031,7400,3,1,0,0,3,2023067410,3,NETANYA
100041,6600,2,1,0,0,2,2023019067,2,HOLON
100043,7900,2,1,0,0,2,2023004976,2,PETAH TIQWA
100085,1167,2,1,0,0,2,2023049525,2,QESARIYYA
100105,1167,2,1,0,0,2,2023092734,2,QESARIYYA
100113,3000,2,1,0,0,2,2023075948,2,JERUSALEM
100234,8600,3,1,0,0,3,2023010484,3,RAMAT GAN
100911,5000,2,1,0,2,0,2023037155,4,TEL AVIV - YAFO
110001,31,2,1,0,0,2,2023056609,2,OFAQIM
110001,1020,2,1,0,0,2,2023003078,2,OR AQIVA
110007,8400,2,1,0,0,2,2023046940,2,REHOVOT
110009,8400,2,1,0,0,2,2023004813,2,REHOVOT
110012,6600,2,1,0,2,0,2023083837,4,HOLON
110024,7900,2,1,0,0,2,2023080105,2,PETAH TIQWA
110031,7400,3,1,0,0,3,2023083430,3,NETANYA
110123,3000,2,1,0,0,2,2023021203,2,JERUSALEM
110231,3000,3,1,0,0,3,2023049309,3,JERUSALEM
110233,4000,2,1,0,0,2,2023005322,2,HAIFA
110815,5000,2,1,0,0,2,2023038425,2,TEL AVIV - YAFO
120001,666,5,1,0,0,5,2023088050,5,OMER
120004,6400,2,1,0,2,0,2023085552,4,HERZELIYYA
120007,6500,2,1,0,0,2,2023084140,2,HADERA
120008,70,3,1,0,0,3,2023067700,3,ASHDOD
120012,6600,2,1,0,0,2,2023044028,2,HOLON
120214,3000,2,1,0,2,0,2023029140,4,JERUSALEM
120522,3000,2,1,0,0,2,2023085571,2,JERUSALEM
130001,1034,2,1,0,0,2,2023090980,2,QIRYAT MAL'AKHI
130005,2650,2,1,0,0,2,2023004881,2,RAMAT HASHARON
130031,7400,2,1,0,0,2,2023002491,2,NETANYA
130031,7900,2,1,0,0,2,2023006358,2,PETAH TIQWA
130039,831,3,1,0,0,3,2023089664,3,YEROHAM
130054,6100,1,1,0,1,0,2023079577,2,BENE BERAQ
130112,8600,2,1,0,0,2,2023008884,2,RAMAT GAN
140005,7800,2,1,0,0,2,2023060576,2,PARDES HANNA-KARKUR
140032,1309,2,1,0,0,2,2023032574,2,EL'AD
140033,6200,2,1,0,0,2,2023094490,2,BAT YAM
140411,4000,3,1,0,0,3,2023059420,3,HAIFA
140431,4000,3,1,0,0,3,2023095526,3,HAIFA
140523,5000,2,1,0,2,0,2023053165,4,TEL AVIV - YAFO
140532,3000,2,1,0,0,2,2023090223,2,JERUSALEM
140616,4000,2,1,0,0,2,2023059414,2,HAIFA
140816,5000,2,1,0,2,0,2023081166,4,TEL AVIV - YAFO
140921,5000,2,1,0,2,0,2023099371,4,TEL AVIV - YAFO
150001,229,2,1,0,0,2,2023019522,2,GANNE TIQWA
150001,1020,2,1,0,2,0,2023058253,4,OR AQIVA
150023,7900,4,1,0,0,4,2023044507,4,PETAH TIQWA
150061,7900,2,1,0,0,2,2023091787,2,PETAH TIQWA
150122,4000,2,1,0,0,2,2023087736,2,HAIFA
150216,8600,2,1,0,2,0,2023083357,4,RAMAT GAN
150514,3000,5,1,5,0,0,2023015316,15,JERUSALEM
160001,2500,2,1,0,0,2,2023030496,2,NESHER
160002,8700,2,1,0,2,0,2023072682,4,RA'ANANA
160006,8300,2,1,0,0,2,2023080604,2,RISHON LEZIYYON
160021,6100,6,1,0,0,6,2023022833,8,BENE BERAQ
160023,7900,2,1,0,0,2,2023036253,2,PETAH TIQWA
160073,1063,2,1,0,0,2,2023008218,2,MA'ALOT-TARSHIHA
160114,5000,5,1,0,0,5,2023088769,5,TEL AVIV - YAFO
160131,4000,2,1,0,0,2,2023039143,2,HAIFA
160525,4000,2,1,0,0,2,2023013020,2,HAIFA
160624,5000,2,1,0,0,2,2023087279,2,TEL AVIV - YAFO
160911,5000,2,1,0,0,2,2023074541,2,TEL AVIV - YAFO
170001,166,2,1,0,0,2,2023057789,2,GAN YAVNE
170001,1200,2,1,0,2,0,2023063531,4,MODI'IN-MAKKABBIM-RE
170007,70,2,1,0,0,2,2023055689,2,ASHDOD
170011,6600,2,1,0,2,0,2023025277,4,HOLON
170012,6600,2,1,0,2,0,2023086974,4,HOLON
170033,7900,7,1,0,0,7,2023032191,9,PETAH TIQWA
170042,7900,3,1,0,0,3,2023094546,3,PETAH TIQWA
170055,7900,2,1,0,2,0,2023044812,4,PETAH TIQWA
170123,3000,2,1,0,0,2,2023058990,2,JERUSALEM
180001,168,4,1,0,0,4,2023005280,4,KEFAR YONA
180002,7800,2,1,0,0,2,2023057714,2,PARDES HANNA-KARKUR
180002,8300,2,1,0,0,2,2023021338,2,RISHON LEZIYYON
180005,2600,2,1,0,0,2,2023024765,2,ELAT
180012,6100,3,1,0,0,3,2023012098,3,BENE BERAQ
180014,7900,2,1,0,2,0,2023024725,4,PETAH TIQWA
180024,6600,3,1,0,0,3,2023066009,3,HOLON
180042,7900,2,1,0,2,0,2023007380,4,PETAH TIQWA
180095,168,2,1,0,0,2,2023003606,2,KEFAR YONA
180099,168,2,1,0,2,0,2023073729,4,KEFAR YONA
180123,3000,3,1,0,0,3,2023097539,3,JERUSALEM
180172,3000,2,1,0,0,2,2023008054,2,JERUSALEM
180622,4000,3,1,0,0,3,2023043357,3,HAIFA
190001,2660,2,1,0,0,2,2023055460,2,YAVNE
190002,7800,4,1,0,0,4,2023088734,4,PARDES HANNA-KARKUR
190005,7600,3,1,0,0,3,2023022345,3,AKKO
190041,7400,3,1,0,0,3,2023054723,3,NETANYA
190061,240,3,1,0,0,3,2023071627,3,YOQNE'AM ILLIT
190064,240,2,1,0,0,2,2023021765,2,YOQNE'AM ILLIT
190122,4000,2,1,0,0,2,2023025712,2,HAIFA
190521,3000,2,1,0,0,2,2023023577,2,JERUSALEM
200005,6900,2,1,0,0,2,2023004158,2,KEFAR SAVA
200006,6900,2,1,0,0,2,2023094801,2,KEFAR SAVA
200006,7600,2,1,0,0,2,2023028942,2,AKKO
200041,7400,2,1,0,0,2,2023088766,2,NETANYA
200123,3000,2,1,0,0,2,2023056542,2,JERUSALEM
200213,3000,2,1,0,0,2,2023036869,2,JERUSALEM
200422,4000,2,1,0,0,2,2023054792,2,HAIFA
210001,1015,2,1,0,0,2,2023098027,2,MEVASSERET ZIYYON
210055,7900,2,1,0,0,2,2023011830,2,PETAH TIQWA
210214,3000,3,1,0,3,0,2023070324,6,JERUSALEM
210225,8600,2,1,0,0,2,2023018748,2,RAMAT GAN
210412,4000,2,1,0,0,2,2023053271,2,HAIFA
210521,3000,2,1,0,0,2,2023061105,2,JERUSALEM
220001,8700,2,1,0,0,2,2023000186,2,RA'ANANA
220002,7800,3,1,0,0,3,2023091155,3,PARDES HANNA-KARKUR
220015,154,2,1,0,0,2,2023058121,2,TEL MOND
220026,154,2,1,0,0,2,2023068518,2,TEL MOND
220041,7900,2,1,0,0,2,2023014903,2,PETAH TIQWA
220215,8600,2,1,0,0,2,2023085845,2,RAMAT GAN
220216,8600,2,1,0,0,2,2023033445,2,RAMAT GAN
230006,6800,2,1,0,0,2,2023073042,2,QIRYAT ATTA
230008,6500,2,1,0,0,2,2023047466,2,HADERA
230019,9800,2,1,2,0,0,2023092937,6,BINYAMINA
230093,9800,2,1,0,0,2,2023060135,2,BINYAMINA
230425,4000,5,1,0,0,5,2023079048,5,HAIFA
230743,3000,2,1,0,0,2,2023074411,2,JERUSALEM
